order_id,customer_name,age,country,city,category,product_price,quantity,discount_percent,payment_method,order_status,order_date,rating,total_amount,final_revenue,discount_amount,order_month,order_year,order_quarter,age_group,is_high_value,revenue_rank,category_upper,order_number
ORD0012,Customer_12,41,UK,Sydney,Beauty,3436.33,9,20.0,UPI,Delivered,2023-01-06,5,24741.58,24741.58,6185.39,January,2023,1,36-45,True,25,BEAUTY,12
ORD0013,Customer_13,53,Canada,São Paulo,Sports,8305.95,5,0.0,Debit Card,Delivered,2023-01-07,2,41529.75,41529.75,0.0,January,2023,1,46-65,True,7,SPORTS,13
ORD0014,Customer_14,57,India,Mumbai,Food,4365.79,7,15.0,UPI,Delivered,2023-01-07,3,25976.45,25976.45,4584.08,January,2023,1,46-65,True,22,FOOD,14
ORD0015,Customer_15,41,UAE,Paris,Clothing,2562.27,2,10.0,Net Banking,Pending,2023-01-08,5,4612.09,4612.09,512.45,January,2023,1,36-45,False,55,CLOTHING,15
ORD0016,Customer_16,20,Japan,Toronto,Food,6209.74,9,15.0,Credit Card,Delivered,2023-01-08,3,47504.51,47504.51,8383.15,January,2023,1,18-25,True,8,FOOD,16
ORD0017,Customer_17,39,UAE,Mumbai,Toys,7097.09,9,20.0,Net Banking,Delivered,2023-01-09,4,51099.05,51099.05,12774.76,January,2023,1,36-45,True,8,TOYS,17
ORD0018,Customer_18,19,UAE,Berlin,Toys,1753.71,4,20.0,Credit Card,Cancelled,2023-01-09,5,5611.87,5611.87,1402.97,January,2023,1,18-25,False,56,TOYS,18
ORD0019,Customer_19,41,UAE,Sydney,Clothing,1759.43,4,20.0,Cash,Cancelled,2023-01-10,3,5630.18,5630.18,1407.54,January,2023,1,36-45,False,51,CLOTHING,19
ORD0020,Customer_20,61,USA,New York,Toys,463.05,6,15.0,Debit Card,Delivered,2023-01-10,2,2361.56,2361.56,416.74,January,2023,1,46-65,False,59,TOYS,20
ORD0021,Customer_21,47,UK,Dubai,Food,7390.38,6,20.0,Cash,Delivered,2023-01-11,4,35473.82,35473.82,8868.46,January,2023,1,46-65,True,16,FOOD,21
ORD0022,Customer_22,55,Brazil,Paris,Sports,6671.66,1,0.0,Cash,Delivered,2023-01-11,4,6671.66,6671.66,0.0,January,2023,1,46-65,False,52,SPORTS,22
ORD0023,Customer_23,19,Canada,Dubai,Sports,4798.85,9,20.0,Net Banking,Delivered,2023-01-12,4,34551.72,34551.72,8637.93,January,2023,1,18-25,True,13,SPORTS,23
ORD0024,Customer_24,38,Germany,Mumbai,Electronics,8457.29,2,5.0,Debit Card,Delivered,2023-01-12,5,16068.85,16068.85,845.73,January,2023,1,36-45,False,29,ELECTRONICS,24
ORD0025,Customer_25,42,UAE,Sydney,Beauty,8076.13,5,15.0,Credit Card,Delivered,2023-01-13,3,34323.55,34323.55,6057.1,January,2023,1,36-45,True,15,BEAUTY,25
ORD0026,Customer_26,29,France,Sydney,Toys,5895.01,9,5.0,Credit Card,Delivered,2023-01-13,4,50402.34,50402.34,2652.75,January,2023,1,26-35,True,9,TOYS,26
ORD0027,Customer_27,39,USA,Berlin,Food,8695.89,4,20.0,UPI,Delivered,2023-01-14,4,27826.85,27826.85,6956.71,January,2023,1,36-45,True,20,FOOD,27
ORD0028,Customer_28,61,Japan,Tokyo,Toys,2137.83,3,0.0,Credit Card,Cancelled,2023-01-14,3,6413.49,6413.49,0.0,January,2023,1,46-65,False,51,TOYS,28
ORD0029,Customer_29,42,Germany,Berlin,Toys,1208.0,7,10.0,Net Banking,Pending,2023-01-15,4,7610.4,7610.4,845.6,January,2023,1,36-45,False,46,TOYS,29
ORD0030,Customer_30,44,Brazil,Tokyo,Books,2770.52,6,25.0,Cash,Delivered,2023-01-15,3,12467.34,12467.34,4155.78,January,2023,1,36-45,False,36,BOOKS,30
ORD0031,Customer_31,59,France,Tokyo,Electronics,665.16,8,25.0,Cash,Delivered,2023-01-16,4,3990.96,3990.96,1330.32,January,2023,1,46-65,False,49,ELECTRONICS,31
ORD0032,Customer_32,45,Brazil,Paris,Food,5358.58,3,20.0,Cash,Delivered,2023-01-16,2,12860.59,12860.59,3215.15,January,2023,1,36-45,False,29,FOOD,32
ORD0033,Customer_33,33,Germany,Berlin,Food,9372.4,5,0.0,Debit Card,Pending,2023-01-17,4,46862.0,46862.0,0.0,January,2023,1,26-35,True,9,FOOD,33
ORD0034,Customer_34,32,UAE,New York,Toys,489.5,4,15.0,Credit Card,Delivered,2023-01-17,4,1664.3,1664.3,293.7,January,2023,1,26-35,False,61,TOYS,34
ORD0035,Customer_35,64,France,London,Electronics,1308.89,4,5.0,Net Banking,Delivered,2023-01-18,5,4973.78,4973.78,261.78,January,2023,1,46-65,False,48,ELECTRONICS,35
ORD0036,Customer_36,61,Brazil,London,Sports,4576.77,4,5.0,Debit Card,Delivered,2023-01-18,2,17391.73,17391.73,915.35,January,2023,1,46-65,False,41,SPORTS,36
ORD0037,Customer_37,20,Japan,Berlin,Food,9345.36,8,5.0,UPI,Delivered,2023-01-19,4,71024.74,71024.74,3738.14,January,2023,1,18-25,True,2,FOOD,37
ORD0038,Customer_38,54,UK,Berlin,Sports,3229.95,6,15.0,Net Banking,Delivered,2023-01-19,4,16472.74,16472.74,2906.95,January,2023,1,46-65,False,43,SPORTS,38
ORD0039,Customer_39,24,India,Dubai,Electronics,5121.62,3,25.0,Net Banking,Delivered,2023-01-20,5,11523.64,11523.64,3841.22,January,2023,1,18-25,False,35,ELECTRONICS,39
ORD0040,Customer_40,42,UK,Paris,Sports,511.57,5,0.0,Net Banking,Delivered,2023-01-20,4,2557.85,2557.85,0.0,January,2023,1,36-45,False,61,SPORTS,40
ORD0041,Customer_41,26,Germany,Berlin,Clothing,1568.6,6,15.0,Cash,Pending,2023-01-21,5,7999.86,7999.86,1411.74,January,2023,1,26-35,False,47,CLOTHING,41
ORD0042,Customer_42,56,USA,Dubai,Books,9867.64,5,5.0,Net Banking,Delivered,2023-01-21,5,46871.29,46871.29,2466.91,January,2023,1,46-65,True,7,BOOKS,42
ORD0043,Customer_43,35,India,Tokyo,Home,9654.68,6,20.0,Credit Card,Cancelled,2023-01-22,5,46342.46,46342.46,11585.62,January,2023,1,26-35,True,10,HOME,43
ORD0044,Customer_44,21,Canada,Sydney,Food,148.91,8,10.0,Net Banking,Cancelled,2023-01-22,4,1072.15,1072.15,119.13,January,2023,1,18-25,False,58,FOOD,44
ORD0045,Customer_45,42,Japan,Sydney,Beauty,9522.94,7,0.0,Cash,Delivered,2023-01-23,4,66660.58,66660.58,0.0,January,2023,1,36-45,True,3,BEAUTY,45
ORD0046,Customer_46,31,Canada,Tokyo,Books,6427.29,5,15.0,Net Banking,Delivered,2023-01-23,5,27315.98,27315.98,4820.47,January,2023,1,26-35,True,17,BOOKS,46
ORD0047,Customer_47,26,France,Toronto,Home,8692.39,6,0.0,UPI,Delivered,2023-01-24,4,52154.34,52154.34,0.0,January,2023,1,26-35,True,7,HOME,47
ORD0048,Customer_48,43,India,Dubai,Sports,4601.92,4,0.0,UPI,Delivered,2023-01-24,5,18407.68,18407.68,0.0,January,2023,1,36-45,False,40,SPORTS,48
ORD0049,Customer_49,19,Canada,Dubai,Food,5204.4,9,15.0,Cash,Returned,2023-01-25,4,39813.66,39813.66,7025.94,January,2023,1,18-25,True,13,FOOD,49
ORD0050,Customer_50,37,Canada,Tokyo,Sports,4939.58,4,5.0,Credit Card,Pending,2023-01-25,3,18770.4,18770.4,987.92,January,2023,1,36-45,True,34,SPORTS,50
ORD0051,Customer_51,45,Brazil,New York,Clothing,6701.96,1,10.0,Credit Card,Delivered,2023-01-26,4,6031.76,6031.76,670.2,January,2023,1,36-45,False,50,CLOTHING,51
ORD0052,Customer_52,64,UK,São Paulo,Electronics,1482.55,7,0.0,Debit Card,Delivered,2023-01-26,5,10377.85,10377.85,0.0,January,2023,1,46-65,False,38,ELECTRONICS,52
ORD0053,Customer_53,24,Brazil,Mumbai,Food,396.74,7,5.0,Cash,Pending,2023-01-27,4,2638.32,2638.32,138.86,January,2023,1,18-25,False,54,FOOD,53
ORD0054,Customer_54,61,India,Tokyo,Home,3148.51,4,20.0,Net Banking,Cancelled,2023-01-27,4,10075.23,10075.23,2518.81,January,2023,1,46-65,False,44,HOME,54
ORD0055,Customer_55,25,India,Berlin,Home,7076.34,3,0.0,Cash,Returned,2023-01-28,5,21229.02,21229.02,0.0,January,2023,1,18-25,True,33,HOME,55
ORD0056,Customer_56,64,Germany,Berlin,Clothing,2098.35,8,5.0,Debit Card,Delivered,2023-01-28,4,15947.46,15947.46,839.34,January,2023,1,46-65,False,35,CLOTHING,56
ORD0057,Customer_57,52,Brazil,Paris,Clothing,6766.98,5,5.0,Cash,Delivered,2023-01-29,5,32143.15,32143.15,1691.74,January,2023,1,46-65,True,20,CLOTHING,57
ORD0058,Customer_58,31,Australia,Tokyo,Toys,9702.13,7,10.0,Cash,Cancelled,2023-01-29,4,61123.42,61123.42,6791.49,January,2023,1,26-35,True,1,TOYS,58
ORD0059,Customer_59,34,UK,Paris,Food,1029.62,4,10.0,Debit Card,Cancelled,2023-01-30,4,3706.63,3706.63,411.85,January,2023,1,26-35,False,52,FOOD,59
ORD0060,Customer_60,53,India,Tokyo,Sports,6758.76,4,20.0,Credit Card,Delivered,2023-01-30,4,21628.03,21628.03,5407.01,January,2023,1,46-65,True,29,SPORTS,60
ORD0061,Customer_61,57,Germany,Dubai,Beauty,4493.13,8,5.0,Net Banking,Delivered,2023-01-31,5,34147.79,34147.79,1797.25,January,2023,1,46-65,True,16,BEAUTY,61
ORD0062,Customer_62,21,Brazil,Mumbai,Home,8694.61,8,25.0,Debit Card,Delivered,2023-01-31,2,52167.66,52167.66,17389.22,January,2023,1,18-25,True,6,HOME,62
ORD0063,Customer_63,19,UK,Dubai,Home,1853.78,2,5.0,UPI,Delivered,2023-02-01,3,3522.18,3522.18,185.38,February,2023,1,18-25,False,56,HOME,63
ORD0064,Customer_64,23,Brazil,São Paulo,Clothing,6957.0,2,10.0,Credit Card,Delivered,2023-02-01,4,12522.6,12522.6,1391.4,February,2023,1,18-25,False,40,CLOTHING,64
ORD0065,Customer_65,59,Canada,Sydney,Books,8397.34,3,25.0,UPI,Pending,2023-02-02,3,18894.02,18894.02,6298.0,February,2023,1,46-65,True,30,BOOKS,65
ORD0066,Customer_66,21,Germany,London,Clothing,9451.68,3,0.0,Credit Card,Delivered,2023-02-02,4,28355.04,28355.04,0.0,February,2023,1,18-25,True,23,CLOTHING,66
ORD0067,Customer_67,46,UK,Tokyo,Beauty,6864.16,1,0.0,Net Banking,Returned,2023-02-03,4,6864.16,6864.16,0.0,February,2023,1,46-65,False,49,BEAUTY,67
ORD0068,Customer_68,35,UAE,São Paulo,Sports,5022.03,3,15.0,Net Banking,Delivered,2023-02-03,4,12806.18,12806.18,2259.91,February,2023,1,26-35,False,48,SPORTS,68
ORD0069,Customer_69,43,France,Sydney,Sports,6216.69,6,0.0,Cash,Cancelled,2023-02-04,5,37300.14,37300.14,0.0,February,2023,1,36-45,True,12,SPORTS,69
ORD0070,Customer_70,61,France,Toronto,Books,8702.16,8,15.0,UPI,Pending,2023-02-04,3,59174.69,59174.69,10442.59,February,2023,1,46-65,True,4,BOOKS,70
ORD0071,Customer_71,51,UK,Mumbai,Home,5749.04,6,25.0,Credit Card,Delivered,2023-02-05,4,25870.68,25870.68,8623.56,February,2023,1,46-65,True,27,HOME,71
ORD0072,Customer_72,27,Brazil,Paris,Clothing,400.83,5,10.0,Net Banking,Delivered,2023-02-05,4,1803.74,1803.74,200.42,February,2023,1,26-35,False,60,CLOTHING,72
ORD0073,Customer_73,53,Germany,Paris,Toys,9316.39,4,20.0,Debit Card,Delivered,2023-02-06,5,29812.45,29812.45,7453.11,February,2023,1,46-65,True,20,TOYS,73
ORD0074,Customer_74,31,France,Dubai,Sports,6926.31,3,5.0,Net Banking,Delivered,2023-02-06,3,19739.98,19739.98,1038.95,February,2023,1,26-35,True,33,SPORTS,74
ORD0075,Customer_75,48,Germany,Berlin,Beauty,6797.48,4,20.0,Debit Card,Cancelled,2023-02-07,4,21751.94,21751.94,5437.98,February,2023,1,46-65,True,30,BEAUTY,75
ORD0076,Customer_76,32,France,Sydney,Food,2235.18,7,25.0,Credit Card,Returned,2023-02-07,3,11734.7,11734.7,3911.56,February,2023,1,26-35,False,34,FOOD,76
ORD0077,Customer_77,25,Canada,Toronto,Electronics,6622.97,1,10.0,Net Banking,Delivered,2023-02-08,3,5960.67,5960.67,662.3,February,2023,1,18-25,False,46,ELECTRONICS,77
ORD0078,Customer_78,31,Brazil,São Paulo,Electronics,3999.26,7,25.0,Net Banking,Delivered,2023-02-08,3,20996.12,20996.12,6998.7,February,2023,1,26-35,True,25,ELECTRONICS,78
ORD0079,Customer_79,40,Canada,Mumbai,Electronics,6547.21,1,5.0,Credit Card,Delivered,2023-02-09,3,6219.85,6219.85,327.36,February,2023,1,36-45,False,45,ELECTRONICS,79
ORD0080,Customer_80,57,France,Sydney,Toys,1155.27,2,0.0,Net Banking,Cancelled,2023-02-09,5,2310.54,2310.54,0.0,February,2023,1,46-65,False,60,TOYS,80
ORD0081,Customer_81,38,UAE,Toronto,Home,6612.67,4,0.0,Debit Card,Delivered,2023-02-10,4,26450.68,26450.68,0.0,February,2023,1,36-45,True,26,HOME,81
ORD0082,Customer_82,33,UAE,London,Clothing,9994.2,1,25.0,Net Banking,Delivered,2023-02-10,5,7495.65,7495.65,2498.55,February,2023,1,26-35,False,48,CLOTHING,82
ORD0083,Customer_83,62,Canada,Tokyo,Books,577.3,9,15.0,UPI,Delivered,2023-02-11,4,4416.34,4416.34,779.36,February,2023,1,46-65,False,60,BOOKS,83
ORD0084,Customer_84,35,UAE,Paris,Toys,9774.02,6,10.0,Cash,Delivered,2023-02-11,4,52779.71,52779.71,5864.41,February,2023,1,26-35,True,6,TOYS,84
ORD0085,Customer_85,64,France,São Paulo,Toys,4128.39,1,10.0,Debit Card,Delivered,2023-02-12,3,3715.55,3715.55,412.84,February,2023,1,46-65,False,58,TOYS,85
ORD0086,Customer_86,41,UK,Paris,Sports,8720.46,1,0.0,UPI,Cancelled,2023-02-12,4,8720.46,8720.46,0.0,February,2023,1,36-45,False,51,SPORTS,86
ORD0087,Customer_87,43,Canada,São Paulo,Food,7845.62,6,20.0,Credit Card,Delivered,2023-02-13,5,37658.98,37658.98,9414.74,February,2023,1,36-45,True,15,FOOD,87
ORD0088,Customer_88,42,USA,Dubai,Toys,5713.46,4,5.0,Debit Card,Delivered,2023-02-13,4,21711.15,21711.15,1142.69,February,2023,1,36-45,True,31,TOYS,88
ORD0089,Customer_89,62,Brazil,Berlin,Beauty,7410.65,4,20.0,Cash,Returned,2023-02-14,2,23714.08,23714.08,5928.52,February,2023,1,46-65,True,27,BEAUTY,89
ORD0090,Customer_90,58,UAE,São Paulo,Food,8797.3,6,20.0,Cash,Cancelled,2023-02-14,4,42227.04,42227.04,10556.76,February,2023,1,46-65,True,12,FOOD,90
ORD0091,Customer_91,46,UAE,Paris,Beauty,4100.99,7,25.0,Credit Card,Delivered,2023-02-15,5,21530.2,21530.2,7176.73,February,2023,1,46-65,True,32,BEAUTY,91
ORD0092,Customer_92,32,India,Dubai,Home,3337.63,9,0.0,Credit Card,Delivered,2023-02-15,5,30038.67,30038.67,0.0,February,2023,1,26-35,True,24,HOME,92
ORD0093,Customer_93,62,Australia,São Paulo,Clothing,6709.17,5,0.0,Debit Card,Delivered,2023-02-16,3,33545.85,33545.85,0.0,February,2023,1,46-65,True,17,CLOTHING,93
ORD0094,Customer_94,18,Canada,London,Electronics,8097.67,9,0.0,Net Banking,Delivered,2023-02-16,5,72879.03,72879.03,0.0,February,2023,1,18-25,True,3,ELECTRONICS,94
ORD0095,Customer_95,42,Japan,Berlin,Toys,7646.62,4,25.0,Credit Card,Delivered,2023-02-17,3,22939.86,22939.86,7646.62,February,2023,1,36-45,True,29,TOYS,95
ORD0096,Customer_96,24,UAE,São Paulo,Clothing,7998.36,2,15.0,Net Banking,Delivered,2023-02-17,3,13597.21,13597.21,2399.51,February,2023,1,18-25,False,38,CLOTHING,96
ORD0097,Customer_97,26,Brazil,Dubai,Home,4412.27,3,20.0,UPI,Delivered,2023-02-18,5,10589.45,10589.45,2647.36,February,2023,1,26-35,False,42,HOME,97
ORD0098,Customer_98,41,USA,Sydney,Books,8196.56,1,25.0,Cash,Cancelled,2023-02-18,3,6147.42,6147.42,2049.14,February,2023,1,36-45,False,56,BOOKS,98
ORD0099,Customer_99,18,UAE,New York,Books,1290.07,6,10.0,Net Banking,Delivered,2023-02-19,3,6966.38,6966.38,774.04,February,2023,1,18-25,False,52,BOOKS,99
ORD0100,Customer_100,61,USA,Toronto,Home,5490.44,6,5.0,Cash,Cancelled,2023-02-19,1,31295.51,31295.51,1647.13,February,2023,1,46-65,True,21,HOME,100
ORD0101,Customer_101,25,France,New York,Beauty,157.01,1,15.0,Net Banking,Delivered,2023-02-20,5,133.46,133.46,23.55,February,2023,1,18-25,False,66,BEAUTY,101
ORD0102,Customer_102,41,France,New York,Sports,3313.4,3,10.0,UPI,Pending,2023-02-20,5,8946.18,8946.18,994.02,February,2023,1,36-45,False,50,SPORTS,102
ORD0103,Customer_103,28,Australia,Mumbai,Sports,3727.97,5,20.0,Credit Card,Returned,2023-02-21,4,14911.88,14911.88,3727.97,February,2023,1,26-35,False,45,SPORTS,103
ORD0104,Customer_104,34,UK,London,Beauty,4022.11,3,0.0,UPI,Returned,2023-02-21,5,12066.33,12066.33,0.0,February,2023,1,26-35,False,44,BEAUTY,104
ORD0105,Customer_105,25,Japan,Sydney,Books,6985.13,3,20.0,Credit Card,Returned,2023-02-22,3,16764.31,16764.31,4191.08,February,2023,1,18-25,False,31,BOOKS,105
ORD0106,Customer_106,52,India,Tokyo,Books,3946.73,3,25.0,Credit Card,Pending,2023-02-22,4,8880.14,8880.14,2960.05,February,2023,1,46-65,False,43,BOOKS,106
ORD0107,Customer_107,52,Australia,São Paulo,Toys,4542.07,5,5.0,Cash,Delivered,2023-02-23,4,21574.83,21574.83,1135.52,February,2023,1,46-65,True,32,TOYS,107
ORD0108,Customer_108,50,Germany,Toronto,Books,2451.69,5,25.0,UPI,Delivered,2023-02-23,2,9193.84,9193.84,3064.61,February,2023,1,46-65,False,41,BOOKS,108
ORD0109,Customer_109,22,India,Berlin,Clothing,3795.19,4,15.0,Net Banking,Delivered,2023-02-24,4,12903.65,12903.65,2277.11,February,2023,1,18-25,False,39,CLOTHING,109
ORD0110,Customer_110,59,Canada,Sydney,Books,2349.97,1,15.0,UPI,Cancelled,2023-02-24,5,1997.47,1997.47,352.5,February,2023,1,46-65,False,66,BOOKS,110
ORD0111,Customer_111,56,Brazil,Paris,Food,824.64,5,5.0,Cash,Cancelled,2023-02-25,1,3917.04,3917.04,206.16,February,2023,1,46-65,False,51,FOOD,111
ORD0112,Customer_112,58,Germany,Tokyo,Toys,6074.14,5,10.0,Credit Card,Delivered,2023-02-25,4,27333.63,27333.63,3037.07,February,2023,1,46-65,True,22,TOYS,112
ORD0113,Customer_113,45,Germany,Mumbai,Electronics,6715.31,4,10.0,Cash,Delivered,2023-02-26,3,24175.12,24175.12,2686.12,February,2023,1,36-45,True,22,ELECTRONICS,113
ORD0114,Customer_114,24,Australia,Mumbai,Books,6232.95,6,15.0,Debit Card,Delivered,2023-02-26,3,31788.04,31788.04,5609.66,February,2023,1,18-25,True,13,BOOKS,114
ORD0115,Customer_115,26,UK,Sydney,Beauty,4688.59,4,15.0,Debit Card,Pending,2023-02-27,5,15941.21,15941.21,2813.15,February,2023,1,26-35,False,38,BEAUTY,115
ORD0116,Customer_116,25,Australia,Dubai,Electronics,3859.88,7,0.0,Net Banking,Delivered,2023-02-27,4,27019.16,27019.16,0.0,February,2023,1,18-25,True,20,ELECTRONICS,116
ORD0117,Customer_117,29,Canada,New York,Clothing,8647.0,7,10.0,Cash,Delivered,2023-02-28,4,54476.1,54476.1,6052.9,February,2023,1,26-35,True,6,CLOTHING,117
ORD0118,Customer_118,51,UAE,Paris,Beauty,5238.91,2,5.0,Net Banking,Delivered,2023-02-28,5,9953.93,9953.93,523.89,February,2023,1,46-65,False,45,BEAUTY,118
ORD0119,Customer_119,50,UAE,Mumbai,Electronics,4843.9,3,10.0,Net Banking,Delivered,2023-03-01,3,13078.53,13078.53,1453.17,March,2023,1,46-65,False,32,ELECTRONICS,119
ORD0120,Customer_120,40,UK,Toronto,Beauty,353.86,1,0.0,Debit Card,Returned,2023-03-01,4,353.86,353.86,0.0,March,2023,1,36-45,False,65,BEAUTY,120
ORD0121,Customer_121,41,Canada,Mumbai,Clothing,3478.35,8,25.0,Net Banking,Cancelled,2023-03-02,4,20870.1,20870.1,6956.7,March,2023,1,36-45,True,30,CLOTHING,121
ORD0122,Customer_122,54,UK,Berlin,Toys,3863.94,9,15.0,Debit Card,Cancelled,2023-03-02,4,29559.14,29559.14,5216.32,March,2023,1,46-65,True,21,TOYS,122
ORD0123,Customer_123,52,USA,São Paulo,Food,4048.35,4,15.0,Credit Card,Delivered,2023-03-03,4,13764.39,13764.39,2429.01,March,2023,1,46-65,False,28,FOOD,123
ORD0124,Customer_124,61,UAE,Mumbai,Clothing,5843.71,6,0.0,Cash,Delivered,2023-03-03,5,35062.26,35062.26,0.0,March,2023,1,46-65,True,16,CLOTHING,124
ORD0125,Customer_125,57,Germany,Berlin,Clothing,5382.67,9,5.0,Net Banking,Delivered,2023-03-04,4,46021.83,46021.83,2422.2,March,2023,1,46-65,True,12,CLOTHING,125
ORD0126,Customer_126,39,Japan,Sydney,Beauty,6118.26,6,15.0,Debit Card,Cancelled,2023-03-04,5,31203.13,31203.13,5506.43,March,2023,1,36-45,True,21,BEAUTY,126
ORD0127,Customer_127,44,Brazil,Sydney,Toys,7672.34,9,20.0,UPI,Delivered,2023-03-05,3,55240.85,55240.85,13810.21,March,2023,1,36-45,True,5,TOYS,127
ORD0128,Customer_128,52,Canada,Tokyo,Home,8148.56,4,15.0,Net Banking,Delivered,2023-03-05,1,27705.1,27705.1,4889.14,March,2023,1,46-65,True,25,HOME,128
ORD0129,Customer_129,18,India,Mumbai,Sports,7209.42,8,20.0,Credit Card,Delivered,2023-03-06,3,46140.29,46140.29,11535.07,March,2023,1,18-25,True,5,SPORTS,129
ORD0130,Customer_130,52,UK,Toronto,Books,9559.68,9,0.0,Credit Card,Pending,2023-03-06,4,86037.12,86037.12,0.0,March,2023,1,46-65,True,1,BOOKS,130
ORD0131,Customer_131,54,Brazil,Mumbai,Books,280.5,4,0.0,UPI,Delivered,2023-03-07,4,1122.0,1122.0,0.0,March,2023,1,46-65,False,68,BOOKS,131
ORD0132,Customer_132,64,India,Toronto,Food,2038.2,5,15.0,Debit Card,Returned,2023-03-07,4,8662.35,8662.35,1528.65,March,2023,1,46-65,False,41,FOOD,132
ORD0133,Customer_133,31,Brazil,London,Food,174.87,8,10.0,Net Banking,Delivered,2023-03-08,5,1259.06,1259.06,139.9,March,2023,1,26-35,False,57,FOOD,133
ORD0134,Customer_134,20,Japan,Tokyo,Books,6510.0,6,20.0,Debit Card,Delivered,2023-03-08,4,31248.0,31248.0,7812.0,March,2023,1,18-25,True,14,BOOKS,134
ORD0135,Customer_135,18,India,London,Sports,8990.5,7,5.0,Credit Card,Delivered,2023-03-09,4,59786.82,59786.82,3146.68,March,2023,1,18-25,True,2,SPORTS,135
ORD0136,Customer_136,22,Australia,Mumbai,Books,2510.47,3,15.0,Debit Card,Delivered,2023-03-09,2,6401.7,6401.7,1129.71,March,2023,1,18-25,False,55,BOOKS,136
ORD0137,Customer_137,43,France,Tokyo,Home,9277.64,7,5.0,Credit Card,Delivered,2023-03-10,1,61696.31,61696.31,3247.17,March,2023,1,36-45,True,3,HOME,137
ORD0138,Customer_138,31,Australia,London,Sports,696.65,8,15.0,Debit Card,Delivered,2023-03-10,4,4737.22,4737.22,835.98,March,2023,1,26-35,False,58,SPORTS,138
ORD0139,Customer_139,42,UAE,New York,Food,9350.92,6,10.0,UPI,Delivered,2023-03-11,4,50494.97,50494.97,5610.55,March,2023,1,36-45,True,5,FOOD,139
ORD0140,Customer_140,44,France,Mumbai,Electronics,3581.06,9,10.0,Cash,Pending,2023-03-11,5,29006.59,29006.59,3222.95,March,2023,1,36-45,True,19,ELECTRONICS,140
ORD0141,Customer_141,26,Australia,London,Beauty,1104.07,6,10.0,UPI,Delivered,2023-03-12,3,5961.98,5961.98,662.44,March,2023,1,26-35,False,51,BEAUTY,141
ORD0142,Customer_142,32,France,New York,Home,4910.13,9,25.0,UPI,Cancelled,2023-03-12,1,33143.38,33143.38,11047.79,March,2023,1,26-35,True,18,HOME,142
ORD0143,Customer_143,32,France,New York,Home,2642.09,4,10.0,Cash,Delivered,2023-03-13,4,9511.52,9511.52,1056.84,March,2023,1,26-35,False,45,HOME,143
ORD0144,Customer_144,43,Germany,Sydney,Toys,2920.24,8,0.0,Cash,Cancelled,2023-03-13,3,23361.92,23361.92,0.0,March,2023,1,36-45,True,28,TOYS,144
ORD0145,Customer_145,59,UK,Mumbai,Food,3142.17,4,0.0,Net Banking,Delivered,2023-03-14,4,12568.68,12568.68,0.0,March,2023,1,46-65,False,30,FOOD,145
ORD0146,Customer_146,30,UK,New York,Food,8049.96,2,25.0,Net Banking,Delivered,2023-03-14,5,12074.94,12074.94,4024.98,March,2023,1,26-35,False,32,FOOD,146
